Pozycja,Słowo,Liczba wystąpień
1,w,141249
2,i,57923
3,na,54752
4,z,52884
5,do,38603
6,się,35613
7,że,27615
8,o,24451
9,nie,22154
10,jest,15539
11,przez,12479
12,to,11773
13,proc,11041
14,po,11025
15,od,10885
16,za,10742
17,a,10538
18,roku,9952
19,powiedział,8570
20,dla,8298
21,będzie,6772
22,tym,6665
23,oraz,6443
24,polski,5887
25,1,5842
26,który,5756
27,ma,5592
28,jego,5392
29,jak,5155
30,które,5081
31,ze,5064
32,zł,4967
33,są,4830
34,podczas,4631
35,2,4544
36,mln,4506
37,lat,4484
38,m,4351
39,przed,4351
40,3,4295
41,tego,4280
42,we,4214
43,5,4080
44,tej,3935
45,poinformował,3909
46,tys,3898
47,co,3816
48,pap,3656
49,pod,3594
50,unii,3548
51,także,3527
52,4,3427
53,ich,3423
54,może,3340
55,in,3316
56,polska,3307
57,zdaniem,3298
58,sprawie,3284
59,ale,3218
60,aws,3191
61,sa,3166
62,polsce,3118
63,już,3107
64,został,3081
65,być,3033
66,świata,3022
67,ponad,2990
68,osób,2949
69,usa,2948
70,prezydenta,2945
71,6,2923
72,która,2889
73,jako,2882
74,0,2882
75,prezydent,2875
76,będą,2851
77,wg,2843
78,tylko,2781
79,jednak,2776
80,też,2775
81,10,2766
82,kraju,2762
83,jej,2737
84,20,2736
85,by,2722
86,akcji,2700
87,warszawie,2634
88,wobec,2557
89,minister,2507
90,był,2491
91,nad,2464
92,ue,2461
93,uważa,2391
94,europejskiej,2379
95,piątek,2376
96,7,2361
97,sąd,2359
98,czy,2345
99,którzy,2333
100,państwa,2281
101,2000,2269
102,pracy,2253
103,niż,2231
104,sobotę,2227
105,sld,2222
106,środę,2221
107,czwartek,2220
108,ten,2185
109,szef,2180
110,pkt,2138
111,dwóch,2128
112,r,2123
113,8,2113
114,według,2107
115,niedzielę,2094
116,rządu,2077
117,aby,2064
118,wtorek,2059
119,poniedziałek,2051
120,przy,2026
121,rząd,1978
122,premier,1972
123,15,1962
124,europy,1959
125,było,1921
126,rzecznik,1887
127,polskiej,1870
128,związku,1865
129,ok,1862
130,rady,1859
131,jeszcze,1858
132,tak,1851
133,były,1849
134,2001,1825
135,konferencji,1823
136,mistrzostw,1808
137,również,1803
138,można,1777
139,miejsce,1773
140,25,1771
141,ii,1768
142,dodał,1767
143,czasie,1763
144,polskiego,1758
145,tych,1738
146,rynku,1733
147,polskich,1723
148,około,1712
149,rosji,1710
150,przeciwko,1697
151,9,1690
152,partii,1666
153,bardzo,1660
154,udział,1653
155,była,1653
156,komisji,1648
157,między,1642
158,mają,1615
159,spraw,1609
160,których,1591
161,grupy,1577
162,lub,1565
163,dolarów,1536
164,wszystkich,1526
165,meczu,1526
166,30,1511
167,bez,1503
168,premiera,1501
169,której,1493
170,uw,1490
171,ustawy,1489
172,wynika,1484
173,pierwszy,1477
174,12,1477
175,centrum,1473
176,prezes,1471
177,dwa,1470
178,krajów,1470
179,podkreślił,1450
180,go,1437
181,obecnie,1436
182,st,1433
183,którym,1424
184,marek,1424
185,andrzej,1423
186,policja,1417
187,mld,1413
188,nich,1405
189,jerzy,1402
190,ciągu,1400
191,zostanie,1378
192,trzech,1377
193,jeśli,1370
194,poinformowała,1368
195,gdzie,1365
196,jan,1361
197,wyborach,1357
198,jeden,1355
199,on,1352
200,raz,1348
201,wśród,1342
202,im,1342
203,nato,1314
204,gdy,1314
205,państw,1312
206,czyli,1311
207,u,1302
208,trzy,1298
209,18,1298
210,b,1293
211,którego,1289
212,16,1280
213,policji,1276
214,mogą,1273
215,euro,1270
216,turnieju,1270
217,wcześniej,1269
218,1999,1259
219,oświadczył,1244
220,niemiec,1242
221,dni,1239
222,ludzi,1227
223,14,1226
224,władze,1221
225,polaków,1213
226,innych,1209
227,chce,1200
228,11,1200
229,17,1198
230,ds,1195
231,50,1181
232,temat,1161
233,100,1159
234,wig,1156
235,13,1155
236,rok,1150
237,finansów,1147
238,letni,1146
239,niego,1142
240,latach,1134
241,usd,1130
242,została,1125
243,te,1124
244,zagranicznych,1115
245,prawa,1112
246,bezpieczeństwa,1108
247,zapowiedział,1106
248,organizacji,1096
249,komisja,1092
250,sposób,1091
251,ministra,1083
252,mówił,1079
253,sądu,1074
254,obrony,1073
255,temu,1073
256,nawet,1066
257,przedstawiciele,1065
258,pierwszym,1063
259,mu,1058
260,banku,1056
261,szefa,1056
262,wygrał,1052
263,sejmu,1048
264,polityki,1047
265,więcej,1047
266,przewodniczący,1044
267,zdrowia,1036
268,osoby,1035
269,s,1032
270,prokuratura,1032
271,paweł,1021
272,natomiast,1016
273,tysięcy,1016
274,skarbu,1014
275,19,1008
276,psl,1008
277,nowych,1006
278,21,1005
279,nowego,1004
280,członków,1002
281,spółki,992
282,wolności,991
283,kultury,989
284,świecie,988
285,jednego,986
286,sesji,980
287,więzienia,978
288,spotkania,974
289,dzieci,973
290,informacji,973
291,komitetu,973
292,ministerstwo,972
293,stanie,972
294,22,969
295,miał,968
296,wszystkie,968
297,kwaśniewski,964
298,praw,964
299,firmy,964
300,pierwszej,962
301,tzw,961
302,iż,961
303,powodu,958
304,prasowej,950
305,maja,950
306,kilka,949
307,strony,949
308,prof,946
309,drugiej,944
310,tam,944
311,40,940
312,ligi,939
313,prawie,930
314,24,927
315,buzek,923
316,rada,916
317,projekt,914
318,bo,914
319,prawo,913
320,współpracy,911
321,wartości,910
322,onz,901
323,sytuacji,900
324,miasta,898
325,ramach,896
326,klubu,895
327,nowym,894
328,września,893
329,końca,893
330,badań,886
331,wieku,883
332,bank,879
333,unia,879
334,nadal,879
335,czasu,876
336,podał,868
337,23,868
338,czerwca,866
339,czterech,862
340,decyzję,858
341,zostało,850
342,swoich,848
343,stanu,845
344,gospodarki,845
345,polskie,844
346,wyniósł,842
347,części,842
348,doszło,841
349,sobie,835
350,życie,833
351,km,829
352,proces,828
353,krakowie,828
354,programu,827
355,ochrony,825
356,aleksander,825
357,powiedziała,822
358,takie,819
359,program,818
360,życia,817
361,spadł,816
362,pierwsze,815
363,decyzji,815
364,władz,814
365,jana,812
366,kilku,811
367,budżetu,811
368,należy,810
369,rzecz,809
370,kiedy,809
371,zostały,806
372,wzrost,804
373,zamierza,803
374,je,802
375,spotkaniu,802
376,początku,801
377,lipca,800
378,badania,799
379,głosów,799
380,swoje,798
381,wszystkim,798
382,wczoraj,798
383,zespół,796
384,jednym,795
385,narodowej,793
386,lata,793
387,ta,791
388,pucharu,789
389,wielu,789
390,temp,787
391,warszawa,784
392,najbardziej,780
393,człowieka,779
394,złoty,779
395,nowy,775
396,nim,772
397,rozmowy,771
398,dnia,770
399,wzrósł,770
400,dyrektor,770
401,dwie,769
402,kandydatów,767
403,agencji,765
404,koniec,765
405,zarządu,761
406,najmniej,760
407,80,759
408,parlamentu,759
409,dzięki,758
410,telewizji,758
411,wojny,757
412,jerzego,757
413,rozwoju,757
414,ani,755
415,polsko,751
416,jugosławii,751
417,60,747
418,większość,746
419,marca,744
420,stanowisko,744
421,zgodnie,743
422,wysokości,743
423,sierpnia,742
424,nowej,741
425,sejm,738
426,maks,738
427,obu,737
428,stolicy,727
429,celu,725
430,dziś,724
431,wniosek,724
432,wyborów,723
433,ofiar,719
434,pięciu,718
435,wiatr,717
436,prawdopodobnie,716
437,odbędzie,712
438,pracowników,712
439,letniego,711
440,mimo,709
441,powinien,707
442,sprawiedliwości,706
443,skl,705
444,lider,704
445,ostatnich,702
446,pomocy,701
447,sprzedaży,700
448,wyścigu,699
449,2002,695
450,porozumienia,693
451,janusz,692
452,wiele,691
453,jednej,686
454,kwietnia,685
455,muzeum,685
456,27,684
457,część,684
458,dzień,683
459,francji,682
460,historii,681
461,miesięcy,680
462,mężczyzn,680
463,czas,679
464,wieczorem,679
465,przeciw,678
466,krzysztof,678
467,ona,677
468,kobiet,677
469,światowej,675
470,zostaną,674
471,polską,672
472,żeby,671
473,działania,671
474,mniej,670
475,jedynie,670
476,domu,670
477,agencja,667
478,prokuratury,667
479,sił,667
480,26,665
481,ukrainy,663
482,kwaśniewskiego,661
483,zarząd,660
484,wyniku,660
485,28,659
486,festiwalu,658
487,200,657
488,nowe,657
489,narodowego,656
490,prezesa,655
491,warszawskiej,655
492,porozumienie,653
493,broni,652
494,sprawy,650
495,miejscu,650
496,fundacji,649
497,przede,649
498,spółek,647
499,miejscowości,647
500,wyborczej,646
501,rozmów,646
502,uznał,645
503,papież,645
504,którą,644
505,aleksandra,637
506,firm,633
507,twierdzi,633
508,ponieważ,631
509,europie,630
510,spotkanie,629
511,rozpoczął,626
512,musi,626
513,grupa,625
514,trzeba,625
515,jakie,625
516,ją,623
517,pieniędzy,623
518,niej,620
519,komunikacie,619
520,słaby,618
521,federacji,617
522,sekretarz,615
523,bardziej,615
524,rosja,614
525,europejska,613
526,otrzymał,611
527,ziemi,611
528,wyraził,610
529,wyniki,609
530,teraz,608
531,woj,607
532,południu,606
533,wschodniej,605
534,tygodniu,605
535,stycznia,602
536,międzynarodowej,602
537,nagród,602
538,systemu,601
539,cztery,601
540,poza,601
541,służby,600
542,komitet,599
543,sądem,599
544,zespołu,598
545,głównie,598
546,drugi,598
547,powinna,597
548,opinii,597
549,porównaniu,594
550,posłów,594
551,liczba,593
552,one,592
553,urzędu,590
554,stanowiska,589
555,wraz,587
556,śmierci,586
557,piotr,585
558,35,585
559,poziom,584
560,międzynarodowego,580
561,swoim,579
562,procent,578
563,np,578
564,29,578
565,jedna,578
566,jednocześnie,578
567,pomoc,577
568,byli,577
569,czeczenii,575
570,tę,574
571,możliwości,574
572,zbrodni,573
573,negocjacji,573
574,środków,573
575,dotychczas,572
576,swoją,572
577,danych,571
578,uważają,570
579,politycznych,570
580,dziennikarzy,568
581,możliwość,568
582,dziennikarzom,568
583,zmian,568
584,andrzeja,568
585,kampanii,568
586,stosunku,567
587,sydney,567
588,najbliższych,566
589,poparcie,566
590,byłego,566
591,podała,565
592,razie,565
593,instytutu,564
594,k,564
595,powinny,563
596,senatu,561
597,jeżeli,560
598,zmiany,559
599,wzrosła,559
600,krzaklewski,559
601,dniach,558
602,70,558
603,nas,556
604,publicznej,555
605,zapewnił,555
606,działalności,553
607,związek,553
608,mieszkańców,553
609,1998,552
610,iii,552
611,prowadzi,552
612,deszczu,551
613,decyzja,550
614,reprezentacji,549
615,pieniądze,549
616,drugim,548
617,św,547
618,solidarności,547
619,ministrów,546
620,internetu,546
621,takich,545
622,polacy,545
623,dlatego,544
624,warszawy,544
625,publicznych,544
626,nagrody,543
627,główny,543
628,poznaniu,542
629,dopiero,541
630,ceny,539
631,rynek,537
632,sondażu,536
633,medal,535
634,samym,534
635,krajach,534
636,90,534
637,chodzi,534
638,polskim,533
639,katowicach,532
640,punktów,531
641,gdyż,531
642,wschodzie,530
643,terenie,528
644,dotyczące,528
645,żołnierzy,527
646,miejsca,527
647,liście,525
648,politycznej,523
649,kontroli,520
650,koalicji,520
651,duże,519
652,działań,519
653,przyznał,519
654,informacje,518
655,opady,518
656,prezydenckich,517
657,okazji,516
658,tymczasem,516
659,giełdy,516
660,umiarkowany,515
661,grudnia,515
662,przedstawicieli,515
663,później,513
664,list,512
665,kraje,512
666,wybory,511
667,ministerstwa,511
668,środowiska,511
669,the,511
670,amerykański,510
671,leszek,509
672,uwagę,509
673,jedną,509
674,drugie,509
675,putin,509
676,posiedzeniu,508
677,oznacza,508
678,złotych,508
679,połowie,507
680,uniwersytetu,507
681,nadzieję,506
682,nocy,505
683,jacek,505
684,inne,502
685,500,501
686,udało,501
687,swój,501
688,piłkarskiej,501
689,lutego,500
690,300,500
691,kurs,500
692,sojuszu,498
693,siły,497
694,choć,496
695,dyplomacji,495
696,swojej,495
697,chcą,495
698,krzaklewskiego,495
699,południe,494
700,uroczystości,493
701,udziału,493
702,platformy,492
703,właśnie,491
704,zostali,490
705,biura,490
706,ruchu,489
707,przewiduje,489
708,miała,489
709,nagrodę,488
710,filmu,486
711,ubiegłym,486
712,31,485
713,koło,485
714,celem,484
715,pięć,484
716,solidarność,483
717,walki,483
718,przyszłym,483
719,tomasz,482
720,naszej,482
721,forum,481
722,polskę,481
723,poziomie,478
724,george,478
725,rosyjskiej,478
726,zdobył,478
727,gdyby,478
728,papierów,476
729,urząd,476
730,grozi,476
731,etap,476
732,wywiadzie,475
733,msz,475
734,łodzi,475
735,de,475
736,niemcy,475
737,pkb,474
738,rolnictwa,473
739,swojego,473
740,marian,473
741,izraela,473
742,prywatyzacji,473
743,zostać,472
744,działalność,472
745,napisał,472
746,wzrostu,472
747,sam,471
748,międzynarodowych,470
749,włoch,470
750,blisko,469
751,maciej,469
752,żydów,469
753,armii,468
754,generalny,467
755,kandydata,467
756,integracji,466
757,lech,466
758,mieć,465
759,wiceminister,465
760,wyborczego,465
761,rp,464
762,wyniesie,464
763,trzecie,463
764,przyjął,463
765,młodych,463
766,film,460
767,oskarżonych,460
768,new,459
769,grupie,459
770,brukseli,459
771,milionów,459
772,badanych,458
773,jarosław,458
774,dobrze,458
775,znajduje,457
776,sieci,457
777,polscy,457
778,daewoo,455
779,projektu,455
780,pierwszego,455
781,amerykańskich,454
782,niemiecki,454
783,pawła,454
784,rosyjskiego,453
785,poziomu,453
786,sprawa,453
787,brak,453
788,okręgowy,453
789,razem,453
790,taką,453
791,jorku,453
792,kary,452
793,pamięci,451
794,obywateli,451
795,wszyscy,451
796,procesu,450
797,całej,449
798,stan,449
799,coraz,449
800,nik,448
801,400,448
802,zjednoczonych,447
803,okresie,446
804,papieża,446
805,45,445
806,wtedy,444
807,sztuki,443
808,całym,442
809,sytuacja,442
810,członkowie,441
811,dniu,441
812,ustawa,439
813,wartość,439
814,żadnych,438
815,europejskiego,438
816,zaś,437
817,firma,437
818,różnych,436
819,zarówno,436
820,wizyty,436
821,swego,436
822,złożył,436
823,dolara,435
824,produkcji,434
825,białorusi,434
826,kg,433
827,czerwcu,433
828,klasyfikacji,432
829,pokonała,432
830,naukowcy,432
831,października,432
832,buzka,431
833,ludzie,431
834,policjanci,431
835,niemczech,431
