Pozycja,Forma podstawowa,Liczba wystąpień,Pierwsza litera etykiety
1,w,141249,G
2,i,57923,G
3,na,54752,G
4,z,52884,G
5,być,40323,B
6,do,38603,G
7,się,37076,E
8,że,27615,G
9,o,24451,G
10,nie,22154,G
11,który,17857,E
12,on,17820,E
13,ta,15135,E
14,przez,12479,G
15,to,11773,E
16,rok,11490,A
17,proca,11048,A
18,po,11025,G
19,polski,10933,A
20,od,10885,G
21,za,10742,G
22,a,10538,G
23,powiedzieć,9747,B
24,zostać,8959,B
25,dla,8298,G
26,ten,7793,E
27,sprawa,6914,A
28,prezydent,6667,A
29,oraz,6443,G
30,lata,6426,A
31,poinformować,6366,B
32,polski,6306,C
33,kraj,6161,A
34,nowy,5802,C
35,ma,5626,E
36,jak,5601,A
37,jeden,5234,C
38,rząd,5099,A
39,ze,5064,G
40,unia,4963,A
41,minister,4754,A
42,europejski,4719,C
43,podczas,4631,G
44,osoba,4610,A
45,sąd,4503,A
46,co,4379,E
47,przed,4351,G
48,państwo,4345,A
49,świat,4326,A
50,we,4214,G
51,warszawa,4044,A
52,szef,4016,A
53,pierwsza,3975,A
54,premier,3968,A
55,akcja,3941,A
56,dzień,3908,A
57,dwa,3837,D
58,czas,3797,A
59,praca,3729,A
60,zdanie,3720,A
61,papa,3656,A
62,pod,3594,G
63,miejsce,3580,A
64,także,3527,G
65,móc,3414,B
66,swoja,3370,E
67,może,3340,G
68,uważać,3315,B
69,wybór,3303,A
70,grupa,3303,A
71,drugi,3266,C
72,ale,3218,G
73,już,3107,G
74,komisja,3068,A
75,bycie,3053,A
76,policja,3008,A
77,związek,3004,A
78,ponad,2990,G
79,chcieć,2989,B
80,człowiek,2975,A
81,inny,2950,C
82,międzynarodowy,2900,C
83,trzy,2885,D
84,jako,2882,G
85,letni,2878,C
86,wszyscy,2850,A
87,władza,2845,A
88,amerykański,2830,C
89,udział,2800,A
90,ustawa,2795,A
91,spotkanie,2784,A
92,tylko,2781,G
93,taż,2780,E
94,jednak,2776,G
95,decyzja,2739,A
96,jej,2737,G
97,raz,2732,A
98,by,2722,G
99,partia,2616,A
100,piątek,2596,A
101,europ,2590,A
102,rynek,2588,A
103,wobec,2557,G
104,wyborczy,2539,C
105,powinien,2534,B
106,polityczny,2510,C
107,firma,2501,A
108,mecz,2467,A
109,nad,2464,G
110,sobota,2440,A
111,środa,2431,A
112,czwartek,2414,A
113,bank,2413,A
114,program,2408,A
115,prawo,2374,A
116,narodowy,2368,C
117,przedstawiciel,2366,A
118,mistrzostwa,2363,A
119,rzecznik,2361,A
120,taki,2358,E
121,czy,2345,E
122,spółka,2338,A
123,prezes,2335,A
124,strona,2333,A
125,niedziela,2330,A
126,ostatni,2311,C
127,odbyć,2289,B
128,sejm,2269,A
129,poniedziałek,2262,A
130,wynik,2256,A
131,główny,2243,C
132,nizać,2236,B
133,ona,2235,E
134,członek,2227,A
135,wtorek,2225,A
136,podać,2197,B
137,kandydat,2162,A
138,mówić,2156,B
139,cały,2149,C
140,rad,2145,A
141,konferencja,2142,A
142,rozpocząć,2127,B
143,mieć,2108,B
144,według,2107,G
145,stan,2104,A
146,rozmowa,2097,A
147,oko,2073,A
148,stać się,2066,B
149,aby,2064,G
150,lider,2059,A
151,zespół,2045,A
152,przy,2026,G
153,projekt,2015,A
154,dolar,2005,A
155,pierwszy,2004,C
156,życie,2002,A
157,badanie,1994,A
158,dodać,1987,B
159,wygrać,1958,B
160,prasowy,1954,C
161,informacja,1948,A
162,koniec,1948,A
163,prokuratura,1934,A
164,publiczny,1907,C
165,proces,1893,A
166,komitet,1891,A
167,wynieść,1886,B
168,tydzień,1886,A
169,organizacja,1862,A
170,list,1860,A
171,jeszcze,1858,G
172,marek,1853,A
173,tak,1851,E
174,nagroda,1830,A
175,klub,1811,A
176,również,1803,G
177,stanowisko,1802,A
178,sytuacja,1795,A
179,niemiecki,1793,A
180,cel,1793,A
181,trzeci,1792,C
182,złoty,1785,A
183,wielki,1778,C
184,maić,1777,B
185,można,1777,B
186,ministerstwo,1751,A
187,dziennikarz,1743,A
188,musieć,1739,B
189,otrzymać,1723,B
190,agencja,1718,A
191,wzrost,1715,A
192,około,1712,G
193,zagraniczny,1707,C
194,podkreślić,1699,B
195,przeciwko,1697,G
196,miasto,1688,A
197,miesiąc,1684,A
198,rosyjski,1664,A
199,bardzo,1660,F
200,cena,1654,A
201,zmiana,1651,A
202,poseł,1643,A
203,między,1642,G
204,kolejny,1632,C
205,poziom,1593,A
206,zarząd,1592,A
207,porozumienie,1590,A
208,mężczyzna,1590,A
209,wynikać,1582,B
210,dziecko,1580,A
211,światowy,1577,C
212,największy,1571,C
213,lub,1565,G
214,cztery,1550,D
215,tysiąc,1543,A
216,oświadczyć,1542,B
217,turniej,1536,A
218,film,1532,A
219,siła,1517,A
220,temat,1507,A
221,wiele,1506,D
222,uznać,1505,B
223,polityka,1503,A
224,bez,1503,A
225,zapowiedzieć,1501,B
226,wniosek,1494,A
227,powód,1489,A
228,pomoc,1484,A
229,centrum,1473,A
230,stosunek,1464,A
231,parlament,1463,A
232,przewodniczący,1458,A
233,kobieta,1458,A
234,obecnie,1436,G
235,znaleźć,1429,B
236,ciąg,1419,A
237,wartość,1412,A
238,wszystek,1410,C
239,system,1398,A
240,zachodni,1396,C
