ngram,count
ie,4789
a ,3871
e ,3432
 s,3396
 w,3062
 p,3055
i ,3004
ni,2856
y ,2728
o ,2472
 n,2350
rz,2120
 z,2101
sz,1917
cz,1869
na,1778
ł ,1775
wi,1744
zy,1731
m ,1725
ch,1716
 t,1671
ze,1654
 d,1553
za,1552
 k,1525
st,1509
po,1438
ał,1417
 o,1412
dz,1406
w ,1382
 c,1304
 m,1291
em,1266
ę ,1258
si,1248
ta,1236
 j,1234
u ,1218
ra,1215
 i,1211
zi,1203
ki,1177
ci,1174
ia,1171
ię,1104
ro,1095
 r,1072
an,1066
z ,1061
 b,1050
od,1049
ow,1048
mi,1037
wa,1021
ą ,976
li,944
ło,936
 g,934
ko,920
pr,895
ak,878
ar,862
k ,858
ka,825
ć ,821
ła,792
ej,773
ad,766
os,750
tr,746
on,744
h ,743
le,738
do,735
er,733
ja,720
sk,718
wy,713
je,712
pa,700
ec,690
as,688
te,677
aw,674
ac,655
go,653
j ,652
bi,640
am,622
en,611
ny,610
da,598
es,598
ic,588
to,583
ob,568
ed,566
ów,560
al,555
 a,551
wo,546
ne,545
 l,544
ws,534
or,523
el,519
no,515
by,514
 u,512
ty,504
la,498
yc,498
eg,482
c ,468
us,464
aj,462
om,459
ma,453
ił,449
kr,447
d ,446
s ,443
pi,440
 ż,436
ż ,428
ąc,424
ys,423
że,423
zn,421
ek,414
ry,406
dy,398
ły,394
ył,392
mo,386
ym,383
ku,374
oc,372
at,370
az,365
t ,365
n ,359
re,359
ną,344
ok,340
oś,337
zc,337
we,333
sł,331
ot,328
ru,327
ba,325
ew,323
br,321
ce,321
im,318
uc,309
ją,308
ęd,305
bo,305
ab,304
mu,302
sp,302
ać,302
śc,301
ol,300
ią,300
og,296
ró,296
oj,295
zą,291
de,290
 ś,288
ca,286
gł,280
zw,270
gr,269
io,268
oł,262
ho,261
zo,261
ór,260
ga,258
wn,256
dr,255
łu,248
sa,247
zu,246
my,246
dn,242
tw,240
 h,236
kt,236
ha,236
is,235
dł,233
łe,233
co,232
kł,232
yk,230
zę,230
cy,228
tu,227
il,226
op,226
oz,226
in,223
iw,223
ur,219
yn,218
aż,217
so,210
uż,210
rw,207
ży,206
gi,205
lu,204
dw,200
lk,200
tó,200
gd,198
śl,198
yl,197
eż,196
ez,193
tk,192
ju,192
ął,192
eb,191
ud,190
rę,186
ik,185
ąd,182
js,180
zk,178
zd,176
ęc,175
me,173
kn,172
ap,171
ś ,170
eś,167
se,167
uk,166
yś,164
ść,162
mn,162
ęk,161
id,160
zł,159
sc,156
dk,155
 ł,155
wr,154
yw,151
hr,148
oż,147
zm,147
um,146
du,144
ić,141
ug,140
it,140
nn,140
et,140
nk,137
yt,136
lo,133
ep,132
pu,131
r ,130
be,128
św,127
kó,126
eu,125
ką,125
wz,123
ża,122
tn,121
yb,120
rc,119
zb,118
ln,118
ńc,117
ub,115
rs,114
ęt,114
śn,114
lc,113
yj,112
su,112
gn,112
zt,112
oń,112
sw,112
ks,110
nę,110
ag,109
mó,109
zl,108
sę,108
wą,108
rn,106
sy,106
rk,105
pe,105
bu,104
tą,104
cu,103
rt,103
kę,102
iu,101
ss,101
uj,100
kl,99
bl,98
aś,97
dl,97
óc,95
 f,94
żn,94
wc,94
óż,93
pl,93
ód,92
hc,91
rd,90
ut,90
ń ,90
wł,90
rą,90
mł,89
dź,89
b ,87
śm,86
nt,85
wę,85
są,85
pó,84
hy,84
ęs,83
sn,82
zr,82
yp,81
zg,80
gl,79
yć,79
un,77
yd,77
bł,77
ps,76
eń,76
ań,75
có,74
he,73
wó,73
hw,72
iś,71
ję,71
tę,71
lą,70
nu,68
ół,68
ck,67
gó,67
ąg,67
ńs,67
up,67
pł,66
łą,65
ęł,65
ój,64
oć,63
łó,63
hu,62
źn,61
ij,61
żd,61
źw,61
lb,60
iż,59
łk,58
żo,57
śr,57
bn,56
dą,55
ig,55
yr,55
kw,55
uł,55
só,55
yz,54
bę,54
jr,54
l ,53
cą,53
nc,52
gu,52
nó,52
py,51
mk,51
ls,51
ąs,51
wu,50
lę,50
ąt,49
eć,49
eł,48
ió,48
wp,48
g ,47
jc,47
wd,47
ul,46
ót,46
ęb,46
ge,46
żą,45
sm,45
ąż,45
hł,45
ęś,45
łę,44
uw,43
fi,43
gę,43
łt,43
wk,43
jn,43
iz,43
pt,42
yg,42
óg,41
oi,40
gą,39
zó,39
hn,39
uz,39
kb,38
pn,38
wt,38
mę,36
rł,36
dę,36
ęg,35
yż,35
ds,35
uś,35
fa,34
nd,34
bó,34
ź ,34
oź,33
ąk,33
ęp,33
rb,33
af,32
łs,32
łn,32
tł,32
ęż,32
ęl,32
ib,32
db,31
dó,31
jo,31
pę,30
ey,29
rm,29
jm,28
ht,28
mc,27
ól,27
ąb,27
fr,26
au,26
 e,26
 ź,26
hm,26
jd,26
cn,26
pc,26
sr,25
ąć,25
eź,25
łb,24
ąw,24
ąp,24
bą,24
 ó,23
dm,23
rg,23
mr,23
p ,22
ns,22
tc,22
ms,22
ób,22
śp,22
aź,21
bk,21
ós,21
cę,21
mą,21
żk,20
zp,20
kk,19
ng,18
ęz,18
rż,18
żs,18
dp,18
dż,18
dc,18
ir,17
hę,17
ąz,17
dd,17
zj,17
jk,17
hi,16
gw,16
fo,16
dg,16
bc,16
of,15
eo,15
hl,15
ló,15
żu,14
fe,14
żb,14
ei,14
źm,14
yi,13
jt,13
dj,13
rp,13
źd,13
mf,13
fu,13
ai,12
ct,12
żó,12
kż,12
jw,11
mt,11
