ngram,count
nie,1634
ie ,1608
 po,1204
 na,1125
 ni,1091
dzi,1040
 i ,1009
na ,989
em ,967
rze,891
 w ,890
 si,856
ał ,784
ię ,777
się,769
wie,746
ch ,743
 pr,730
 za,724
rzy,652
zy ,614
 wi,602
prz,595
 ja,589
 do,583
 st,557
ej ,538
zie,524
ak ,506
 pa,492
ki ,486
 ta,478
czy,478
kie,475
jak,445
ów ,438
 je,435
 cz,432
ła ,429
a s,425
ny ,425
szy,423
sta,418
go ,410
iem,406
 sz,405
 z ,402
li ,385
 wy,378
a p,377
cie,372
a w,366
e s,360
ia ,357
e w,354
 ch,353
str,351
trz,351
 mi,350
 ko,350
iał,345
i s,341
 ro,339
mie,338
ze ,337
ach,336
ier,335
za ,330
i w,327
ych,327
wsz,326
ego,324
e p,323
że ,321
cze,316
to ,315
ani,313
ied,311
i p,307
ści,301
y s,301
ać ,301
ka ,299
 te,299
ił ,297
iej,295
szc,294
pod,289
a n,289
eni,289
 kr,289
y w,288
ski,287
iec,284
usz,281
 ws,280
 że,280
o s,274
 od,274
ł s,274
zcz,273
do ,273
ąc ,273
mi ,271
owa,270
ne ,269
cza,267
ku ,267
pan,266
owi,266
esz,262
bie,262
 to,261
sza,259
ym ,258
 s ,257
ły ,257
ło ,257
odz,254
o w,252
iel,251
a z,250
y p,247
sze,247
dy ,247
ni ,242
ecz,240
le ,240
ko ,238
 ob,237
e z,236
zys,235
 dz,233
o p,233
e n,230
nia,230
ami,228
wał,225
by ,223
i z,221
ędz,221
 by,221
ien,220
a k,220
 a ,218
a t,218
cho,217
 pi,216
 tr,216
ich,216
ył ,215
y n,214
 ma,214
pie,210
 go,210
 ty,205
ost,204
 le,203
tak,202
i n,201
ale,200
ty ,200
im ,199
cha,199
ce ,198
łow,198
awi,197
wia,196
wa ,196
 sł,194
 ka,194
 sp,193
no ,193
e t,193
a c,192
 kt,192
e d,191
wy ,191
był,191
edz,189
am ,189
ci ,188
 ra,188
sto,187
mu ,186
ieg,186
a d,186
m s,186
ął ,185
ł w,184
 ci,182
o z,182
od ,182
ała,182
 mo,181
 wo,181
ies,181
i t,180
 dr,179
 rz,179
 sk,179
asz,178
raz,178
 bo,177
tem,177
zas,176
erz,175
cz ,174
o n,174
e j,174
ają,174
m p,173
raw,173
ta ,172
m w,172
ry ,172
e m,171
cy ,171
y z,171
a m,170
 gr,169
zia,169
 gł,167
oni,165
pow,165
ocz,165
abi,164
arz,163
eci,162
rza,162
ek ,161
w p,161
acz,161
a i,160
sie,159
zec,159
e c,159
 da,158
 co,158
est,157
po ,157
uż ,157
 zw,157
e o,156
któ,156
jes,154
ros,154
yst,154
ę w,154
sz ,153
 gd,152
ną ,152
pra,152
 ju,152
ść ,151
nic,151
an ,150
a j,150
 o ,150
ośc,150
uch,150
 br,149
bia,149
cia,149
o t,148
ł p,148
nął,148
jąc,148
rab,148
ech,147
 zn,147
tór,147
mia,146
zał,146
obi,145
y o,145
eli,144
i k,144
i o,143
a o,143
zna,143
ada,142
orz,142
 bi,142
lec,142
ić ,141
ade,140
spo,140
bo ,139
gdy,139
je ,139
e i,138
y d,138
zek,138
krz,138
y i,137
 sa,136
zem,135
lic,135
rod,135
erw,134
ali,134
tar,134
ją ,134
gło,134
m z,133
nik,133
wid,132
owy,132
łem,132
i c,132
iew,131
a r,131
 mu,131
 hr,131
ska,130
now,129
czn,129
co ,129
hra,129
ę z,129
a b,129
ca ,128
 dw,128
y t,128
już,128
świ,127
bra,127
o d,126
ony,126
roz,126
e b,126
tał,125
i d,125
woj,124
ały,124
zer,123
w k,123
o k,122
y c,122
iad,122
 wa,121
w s,121
 tu,120
u p,119
szk,119
y k,119
